USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CO|0833695|1600000US0833695|02412716|Gypsum town|43|A|22896627|301041|8.84|0.116|39.620164|-106.956357
CO|0834520|1600000US0834520|02412730|Hartman town|43|A|710810|0|0.274|0.|38.121128|-102.221608
CO|0834630|1600000US0834630|02805924|Hartsel CDP|57|S|518039|12128|0.2|0.005|39.02263|-105.80057
CO|0834685|1600000US0834685|02583243|Hasty CDP|57|S|7131304|607|2.753|0.|38.102305|-102.969681
CO|0834740|1600000US0834740|02412734|Haswell town|43|A|2078551|0|0.803|0.|38.452492|-103.16498
CO|0834960|1600000US0834960|02412738|Haxtun town|43|A|1589211|0|0.614|0.|40.641733|-102.629858
CO|0835070|1600000US0835070|02412740|Hayden town|43|A|8916481|0|3.443|0.|40.492217|-107.264325
CO|0835400|1600000US0835400|02583244|Heeney CDP|57|S|588790|0|0.227|0.|39.873988|-106.304155
CO|0835860|1600000US0835860|02583245|Hidden Lake CDP|57|S|1583388|37319|0.611|0.014|40.10516|-105.477571
CO|0836410|1600000US0836410|02408386|Highlands Ranch CDP|57|S|62874236|64891|24.276|0.025|39.540829|-104.971077
CO|0836610|1600000US0836610|02412751|Hillrose town|43|A|488402|0|0.189|0.|40.324495|-103.522206
CO|0836940|1600000US0836940|02583247|Hoehne CDP|57|S|8047528|0|3.107|0.|37.281443|-104.389095
CO|0837215|1600000US0837215|02412764|Holly town|43|A|1890473|2628|0.73|0.001|38.055639|-102.124589
CO|0837220|1600000US0837220|02629989|Holly Hills CDP|57|S|1503320|0|0.58|0.|39.667727|-104.921622
CO|0837270|1600000US0837270|02410781|Holyoke city|25|A|6405951|18038|2.473|0.007|40.582101|-102.297192
CO|0837380|1600000US0837380|02412766|Hooper town|43|A|652732|0|0.252|0.|37.745976|-105.877735
CO|0837545|1600000US0837545|02412771|Hotchkiss town|43|A|2400602|0|0.927|0.|38.798994|-107.713385
CO|0837600|1600000US0837600|02412770|Hot Sulphur Springs town|43|A|1992065|0|0.769|0.|40.074902|-106.10317
CO|0837655|1600000US0837655|02583248|Howard CDP|57|S|43381663|0|16.75|0.|38.409762|-105.842389
CO|0837820|1600000US0837820|02412776|Hudson town|43|A|15288760|204094|5.903|0.079|40.091746|-104.593741
CO|0837875|1600000US0837875|02412778|Hugo town|43|A|2361658|0|0.912|0.|39.136179|-103.473138
